Species,Infant litter size (mean),Infant litter size (sd),n
Cheirogaleus medius,1.9127747252747254,0.8543182147853786,13
Daubentonia madagascariensis,1,0,7
Eulemur albifrons,1,NA,1
Eulemur collaris,1,0,7
Eulemur coronatus,1.1083333333333334,0.2486072315029383,10
Eulemur Eulemur,1,0,5
Eulemur flavifrons,1.0510793554271816,0.1270108101553181,13
Eulemur fulvus,1,0,4
Eulemur macaco,1.125,0.3535533905932738,8
Eulemur mongoz,1.0104166666666667,0.041666666666666685,16
Eulemur rubriventer,1.08,0.17888543819998315,5
Eulemur rufus,1.1458333333333333,0.27368009363268214,8
Eulemur sanfordi,1,NA,1
Galago moholi,1.3571428571428572,0.47380354147934284,4
Hapalemur griseus griseus,1.123456790123457,0.2055889195479122,9
Lemur catta,1.3301216464456596,0.37945440335014907,32
Loris tardigradus,1,0,10
Mircocebus murinus,2.326839826839827,0.8419060771151339,22
Mirza coquereli,1.7333333333333334,0.4346134936801766,5
Nycticebus coucang,1,0,14
Nycticebus pygmaeus,1.7285664990633935,0.27917169759930405,7
Otolemur garnettii garnettii,1.1368421052631579,0.3336840260482454,19
Perodicticus potto,1,0,3
Propithecus coquereli,1,0,22
Varecia rubra,1.9982905982905983,0.7132937590534866,13
Varecia Varecia,2,0,2
Varecia variegata variegata,1.959375,0.7996519786988818,16
